Antike und Abendland	A&A 
Archaeologia austriaca	ArchAustr
Archeologia classica	ArchCl
Archaiologikon Deltion	ArchDelt
Archeologia. Trésors des âges [Paris]	ArcheologiaPar
Archeologia. Rivista bimestrale [Rome]	ArcheologiaRom
Archeologia. Rocznik Instytutu historii kultury materialnej Polskiej akademii nauk [Warsaw]	ArcheologiaWar
Archaiologike Ephemeris	ArchEph
Archaeologiai ertesítö	ArchErt
Archivo español de arte y arqueología	ArchEsp
Archivo español de arqueología	ArchEspArq
Archivo español de arte	ArchEspArt
Archaeologia geographica	ArchGeogr
F. Matz and H.G. Buchholz, eds., Archaeologia Homerica (Göttingen 1967– )	ArchHom
Archäologische Informationen. Mitteilungen zur Ur- und Frühgeschichte	ArchInf
Architectura. Zeitschrift für Geschichte der Baukunst	Architectura
Archaeologia iugoslavica	ArchIug
Archaeological Journal	ArchJ 
Archiv für Keilschriftforschung	ArchKF
Archaeologisches Korrespondenzblatt	ArchKorrBl
Archives des Missions scientifiques et littéraires	ArchMiss
Archaeological News	ArchNews
Archiv orientální	ArchOrient
Archaeologia perusina	ArchPer
Archiv für Papyrusforschung und verwandte Gebiete	ArchPF
Archives de philosophie	ArchPhilos
Archiv für Religionswissenschaft	ArchRW
Archäologie der Schweiz. Mitteilungsblatt der Schweizerischen Gesellschaft für Ur- und Frühgeschichte	ArchSchw
Archivio storico italiano	ArchStor
Archeologia veneta	ArchVen
Arheoloski vestnik	ArhVest
O arqueólogo português	ArqPort
The Art Bulletin	ArtB
Art Journal	ArtJ 
J.D. Beazley, Attic Red-Figure Vase-Painters. 2nd ed. (Oxford 1963)	ARV2
Assyriological Studies	AS
Annales du Service des antiquités de l'Égypte	ASAE
Annuario della Scuola archeologica di Atene e delle Missioni italiane in Oriente	ASAtene
Archaeological Survey of Egypt	ASE
C. Robert et al., Die antiken Sarkophagreliefs (Berlin 1890– )	ASR
Athenaeum. Studi periodici di letteratura e storia dell'antichità, Università di Pavia	Athenaeum
‘Atiqot. Journal of the Israel Department of Antiquities	‘Atiqot 
Atti e memorie. Deputazione di storia patria per le province di Romagna [Bologna]	AttiBol
Atti. Centro ricerche e documentazione sull'antichità classica	AttiCAntCl
Atti. Centro studi e documentazione sull'Italia romana	AttiCSDIR
Atti del Congresso nazionale di studi romani	AttiCStR
Atti e memorie dell'Accademia toscana di scienze e lettere “La Colombaria” [Florence]	AttiFir
Atti e memorie della Società istriana di archeologia e storia patria	AttiIstr
Atti e memorie della Società Magna Grecia	AttiMGrecia
Atti e memorie. Deputazione di storia patria per le antiche province modenesi	AttiMod
Atti della Accademia di scienze, lettere e arti di Palermo	AttiPal
Atti della Pontificia Accademia romana di archeologia	AttiPontAcc
Atti del Convegno di studi sulla Magna Grecia, Taranto	AttiTaranto
Atti della Accademia delle scienze di Torino	AttiTor
Atti. Istituto veneto di scienze, lettere ed arti	AttiVen
Antike und Christentum	AuChr
Archiv für Urkundenforschung	AUF
Ausgrabungen und Funde. Nachrichtenblatt für Vor- und Frühgeschichte	AusgrFu
Altertümer von Pergamon	AvP
Archäologische Zeitung	AZ	
Beiträge zur Assyriologie	BA
Bulletin d'archéologie algérienne	BAAlg
Bulletin antieke beschaving. Annual Papers on Classical Archaeology	BABesch
Bulletin archéologique du Comité des travaux historiques et scientifiques	BAC
Bullettino di archeologia cristiana	BACrist
Bibliothèque archéologique et historique, Institut français d'archéologie de Beyrouth	BAHBeyrouth
Bibliothèque archéologique et historique, Institut français d'archéologie de Istanbul	BAHIstanbul
Balkan Studies	BalkSt
Baghdader Mitteilungen	BaM
Bulletin d'archéologie marocaine	BAMaroc
Bulletin de la Commission archéologique de Narbonne	BANarb
Bulletin d'ancienne littérature et d'archéologie chrétienne	BAncLit
Bulletin de la Société nationale des antiquaires de France	BAntFr
Beazley Archive Pottery Database (www.beazley.ox.ac.uk)	BAPD
Bulletin archéologique du Provence	BAProv
British Archaeological Reports	BAR
British Archaeological Reports, British Series	BAR-BS
British Archaeological Reports, International Series	BAR-IS
Bulletin of the American Schools of Oriental Research	BASOR
Bulletin of the American Society of Papyrologists	BASP
Bulletin of the American School of Prehistoric Research	BASPR
Bulletin de l'Association Guillaume Budé	BAssBudé
Bulletin of the Byzantine Institute	BByzI
Bulletin de correspondance hellénique	BCH
Bulletin de correspondance hellénique. Supplément	BCH Suppl.
The Bulletin of the Cleveland Museum of Art	BClevMus
Bollettino del Centro di studi per la storia dell'architettura	BCSSA
Bollettino d'arte	BdA
Bullettino dell'Istituto di corrispondenza archeologica	BdI
T.H. Carpenter, Beazley Addenda: Additional References to ABV, ARV2 and Paralipomena (Oxford 1989)	Beazley Addenda2
Bibliothèque des Écoles françaises d'Athènes et de Rome	BÉFAR
