Antike und Abendland	A&A 
Journal of the Palestine Oriental Society	JPOS 
Journal of Prehistoric Religion	JPR 
Jewish Quarterly Review	JQR
Journal of Roman Archaeology	JRA 
Journal of the Royal Anthropological Institute	JRAI 
Journal of the Royal Asiatic Society	JRAS 
Journal of Religion	JRel 
Journal of the Royal Geographic Society	JRGS 
Jahrbuch des Römisch-germanischen Zentralmuseums, Mainz	JRGZM
Journal of Roman Studies	JRS 
Journal of the Society of Architectural Historians	JSAH 
Journal des savants	JSav 
Journal of the Society of Oriental Research	JSOR 
Journal of Semitic Studies	JSS 
Journal of Theological Studies	JThS 
Jura. Rivista internazionale di diritto romano e antico	Jura
Journal of the Walters Art Gallery	JWalt 
Journal of the Warburg and Courtauld Institutes	JWarb 
Kadmos. Zeitschrift für vor- und frühgriechische Epigraphik	Kadmos
Kairos. Zeitschrift für Religionswissenschaft und Theologie	Kairos
G. Karo, Die Schachtgräber von Mykenai (Munich 1930–1933)	Karo
Karthago. Revue d'archéologie africaine	Karthago
Kenchreai. Eastern Port of Corinth. Results of Investigations by the ­University of Chicago and Indiana University for the American School of Classical Studies at Athens	Kenchreai
Kerameikos. Ergebnisse der Ausgrabungen	Kerameikos
Kleinasiatische Forschungen	KF
J.E. Kirchner, Prosopographia attica (Chicago 1981, repr. of 1901–1903 ed.)	KirchPA
Klearchos. Bollettino dell'Associazione amici del Museo nazionale di Reggio Calabria	Klearchos
Klio. Beiträge zur alten Geschichte	Klio
Der kleine Pauly. Lexicon der Antike	KlPauly
KMT. A Modern Journal of Ancient Egypt	KMT 
Kokalos. Studi pubblicati dall'Istituto di storia antica dell'Università di Palermo	Kokalos
Kölner Jahrbuch für Vor- und Frühgeschichte	KölnJb	
Lexicon der Ägyptologie	LÄ
Latinitas. Commentarii linguae latinae excolendae	Latinitas
Latomus. Revue d'études latines	Latomus
Liverpool Classical Monthly	LCM
Levant. Journal of the British School of Archaeology in Jerusalem and the British Institute at Amman for Archaeology and History	Levant 
Libya antiqua	LibAnt
Libyan Studies	LibSt
Lexicon iconographicum mythologiae classicae (Zurich and Munich 1974– )	LIMC
Liturgical Arts	LitArts
Lavori e studi di archeologia pubblicati dalla Soprintendenza archeologica di Roma	LSA
H.G. Liddell, R. Scott, and H. Stuart Jones, Greek-English Lexicon. 9th ed. (Oxford 1940)	LSJ
E.M. Steinby, ed., Lexicon topographicum urbis romae (Rome 1993)	LTUR
L'Urbe. Rivista romana	L'Urbe
Le moyen âge	MÂ
Memoirs of the American Academy in Rome	MAAR
Mitteilungen der anthropologischen Gesellschaft [Vienna]	MAGW
Maia. Rivista di letterature classiche	Maia
Monumenta Asiae minoris antiqua	MAMA
Mémoires de la Société nationale des antiquaires de France	MAntFr
Marburger Winckelmann-Programm	MarbWPr
Mari. Annales de recherches interdisciplinaires	Mari
Marsyas. Studies in the History of Art	Marsyas
MASCA Journal. Museum Applied Science Center for Archaeology, University Museum, University of Pennsylvania	MASCAJ 
MASCA Research Papers in Science and Archaeology	MASCAP
F. Matz and F. von Duhn, Antike Bildwerke in Rom (Leipzig 1881–1882)	Matz-Duhn
Il mondo classico	MCl
Mitteilungen des Deutschen Archäologen-Verbandes	MDAV
Musées de France	MdF
Mitteilungen des Deutschen Archäologischen Instituts	MdI
Mitteilungen des Deutschen Archäologischen Instituts, Abteilung Kairo	MDIK
Mitteilungen der Deutschen Orient-Gesellschaft zu Berlin	MDOG
Mémoires de la Délégation franĉaise en Perse	MDP
Mededeelingen van het Nederlands Historisch Instituut te Rome	Meded
Medievalia et humanistica	MedHum
Mediterranean Archaeology. Australian and New Zealand Journal for the Archaeology of the Mediterranean World	MeditArch 
Meddelelser fra Ny Carlsberg Glyptotek [Copenhagen]	MedKøb
Medelhavsmuseet, Bulletin [Stockholm]	MedMusB
Mediaeval and Renaissance Studies	MedRen
Mélanges d'archéologie et d'histoire de l'École française de Rome	MÉFR
Mélanges de l'École française de Rome, Antiquité	MÉFRA
Mélanges de l'École française de Rome. Moyen âge, temps modernes	MÉFRM
Mélanges de l'Université Saint Joseph, Beyrouth	MélBeyrouth
Mémoires présentés par divers savants à l'Académie des inscriptions et belles lettres [Paris]	MémAcInscr
Atti della Accademia delle scienze dell'Istituto di Bologna. Memorie	MemBol
Memorie. Atti della Accademia nazionale dei Lincei, Classe di scienze morali, storiche e filologiche	MemLinc
Memorie dell'Accademia di archeologia, lettere e belle arti di Napoli	MemNap
Memorie. Atti della Pontificia Accademia romana di archeologia	MemPontAcc
Mesopotamia. Rivista di archeologia	Mesopotamia
Madrider Forschungen	MF
Monumenta Germaniae historica	MGH
Mémoires de l'Institut d'Égypte	MIÉ
J.P. Migne, Patrologia graeca (Paris 1928–1936)	Migne, PG
J.P. Migne, Patrologia latina (Paris 1879)	Migne, PL
Milet. Ergebnisse der Ausgrabungen und Untersuchungen seit dem Jahre 1899	Milet
Minerva. The International Review of Ancient Art and Archaeology [London]	Minerva
Minos. Revista de filología egea	Minos
Mitteilungen des Instituts für Orientforschung	MIO
Mitteilungen, Numismatische Gesellschaft [Vienna]	MittNumGes
Modern Language Journal	MLJ 
Modern Language Notes	MLN
Madrider Mitteilungen	MM
Metropolitan Museum of Art Journal	MMAJ 
M.P. Nilsson, The Minoan-Mycenaean Religion. 2nd ed. (Lund 1950)	MMR2
Metropolitan Museum Studies	MMS
Mnemosyne. Bibliotheca classica batava	Mnemosyne
Mitteilungen des Österreichischen Instituts für Geschichtsforschung	MÖIG
Monumenti antichi	MonAnt
Mitteilungen der Österreichischen numismatischen Gesellschaft	MÖNG
Monumenti inediti pubblicati dall'Instituto di corrispondenzaarcheologica	MonInst
Monuments et mémoires. Fondation E. Piot	MonPiot
Münchener Jahrbuch der bildenden Kunst	MüJb
Münchener Beiträge zur Papyrusforschung und antiken Rechtsgeschichte	MünchBeitr
Musée belge	MusB
Muse. Annual of the Museum of Art and Archaeology, University of Missouri	Muse
Museum Helveticum	MusHelv
Museum Journal [Philadelphia]	MusJ
Museen in Köln. Bulletin	MusKöln
Mitteilungen der vorderasiatisch-aegyptischen Gesellschaft	MVAG
Mededeelingen en Verhandelingen ex Oriente Lux	MVEOL
Mainzer Zeitschrift	MZ
Neues Archiv der Gesellschaft für ältere deutsche Geschichtskunde	NA
Noticiario arqueológico hispánico	NAHisp
Nachrichten von der Akademie der Wissenschaften in Göttingen	NAkG
E. Nash, Pictorial Dictionary of Ancient Rome. 2nd ed. (New York 1968)	Nash
National Geographic Research	NatGeogRes
Numismatic Chronicle	NC
Numismatic Circular	NCirc
Near Eastern Archaeology (formerly BiblArch)	NEA
Excavations at Nichoria in Southwest Greece	Nichoria
[Neue] Jahrbücher für Philologie und Pädagogik; Neue Jahrbücher für das klassische Altertum; Neue Jahrbücher für Wissenschaft und Jugendbildung	NJbb
Numismatic Literature	NL
Numismatisches Literaturblatt	NLB
American Numismatic Society. Numismatic Notes and Monographs	NNM
Nomismatika chronika	NomChron
Nouvelles archives des Missions scientifiques	NouvArch
La nouvelle Clio	NouvClio
Numismatic Review	NR
American Numismatic Society. Numismatic Studies	NS
Notizie degli scavi di antichità	NSc
L. Richardson, A New Topographical Dictionary of Ancient Rome (Baltimore 1992)	NTDAR
Numismatica e antichità classiche. Quaderni ticinesi	NumAntCl
Numen. International Review for the History of Religions	Numen
Numismatic Journal	NumJ 
Nuovo bulletino di archeologia cristiana	NuovB
Numismatische Zeitschrift	NZ
Oriens antiquus	OA
Orientalisches Archiv	OAr
Oriens christianus	OC
S. Hornblower and A. Spawforth, eds., The Oxford Classical Dictionary. 3rd ed. (Oxford 1996)	OCD3
Orientis Graeci inscriptiones selectae	OGIS
Oriental Institute Communications	OIC
Oriental Institute Publications	OIP
Oxford Journal of Archaeology	OJA 
Jahreshefte des Österreichischen archäologischen Instituts in Wien	ÖJh
Jahreshefte der Österreichischen archäologischen Instituts in Wien, Beiblatt	ÖJhBeibl
Bericht über die Ausgrabungen in Olympia	OlBer
Oxford Latin Dictionary (Oxford 1982)	OLD
Olympische Forschungen	OlForsch
Excavations at Olynthos	Olynthos
Orientalische Literaturzeitung	OLZ
Opuscula archaeologica	OpArch
Opuscula Atheniensia	OpAth
Opuscula. Annual of the Swedish Institutes at Athens and Rome	OpAthRom
Opuscula Instituti romani Finlandiae	OpFin
Opuscula philologica	OpPh
Opuscula Romana	OpRom
Ostraka. Rivista di antichita	Ostraka
Old World Archaeology Newsletter	OWAN
American Academy in Rome. Papers and Monographs	PAAR
Publications of the Princeton University Archaeological Expeditions to Syria	PAES
Paléorient. Interdisciplinary Review of Prehistory and Protohistory of Southwestern Asia	Paléorient
Palästinajahrbuch	PalJb
Palladio. Rivista di storia dell'architettura	Palladio
Pantheon. Internationale Zeitschrift für Kunst	Pantheon
Proceedings of the American Philosophical Society	PAPS
J.D. Beazley, Paralipomena (Oxford 1971)	Paralipomena
Past and Present	PastPres
Papers of the British School at Rome	PBSR
Proceedings of the Cambridge Philological Society	PCPS
R. Stillwell et al., eds., Princeton Encyclopedia of Classical Sites (Princeton 1976)	PECS
Palestine Exploration Fund Annual	PEFA
Palestine Exploration Fund Quarterly Statement	PEFQ
Palestine Exploration Quarterly	PEQ
Persica. Jaarboek van het Genootschap Nederland-Iran	Persica
Petermanns Mitteilungen	PetMitt
H.G. Buchholz and V. Karageorghis, Prehistoric Greece and Cyprus (London 1973)	PGC
Philologus. Zeitschrift für klassische Philologie	Philologus
Philologische Wochenschrift	PhilWoch
Phoenix. The Classical Association of Canada	Phoenix
Prosopographia imperii romani	PIR
S.B. Platner and T. Ashby, A Topographical Dictionary of Ancient Rome (London 1929)	Platner-Ashby
Patrologia Orientalis	PO
Pontica. Studii si materiale de istorie, arheologie si muzeografie, Constanta	Pontica
La parola del passato	PP
Proceedings of the Prehistoric Society	PPS
Philological Quarterly	PQ
Praktika tes en Athenais Archaiologikes Etaireias	Prakt 
Praktika tes Akademias Athenon	PraktAkAth 
Preussische Jahrbücher	PreussJb
Proceedings of the British Academy	ProcBritAc
Proceedings of the Jewish Palestine Exploration Society	ProcJPES
Proceedings of the American Philological Association	ProcPhilAs
Proceedings of the Royal Numismatic Society	ProcRNS
Prometheus. Rivista quadrimestrale di studi classici	Prometheus
Prospettiva. Rivista d'arte antica e moderna	Prospettiva
Provence historique	ProvHist
Przeglad archeologiczny	PrzArch
Przeglad klasyczny	PrzKl
Prähistorische Zeitschrift	PZ
Quaderni di archeologia della Libia	QAL
Quaderni del Centro di studio per l'archeologia etrusco-italica	QArchEtr
Quarterly of the Department of Antiquities in Palestine	QDAP
Qedem. Monographs of the Institute of Archaeology, Hebrew University of Jerusalem	Qedem
Quaderni dell'Istituto di topografia antica della Università di Roma	QITA
Revue archéologique	RA
Revue archéologique du Centre consacrée aux antiquités nationales	RACentre
Rivista di archeologia cristiana	RACrist
Revue archéologique de l'Est et du Centre-Est	RAEst
Revue africaine	RAfr
Revue des archéologues et historiens d'art de Louvain	RALouvain
Revue archéologique de Narbonnaise	RANarb
Revista di arqueología	RArq
Rassegna indo-greco-italica	RassIGI
Revue d'assyriologie et d'archéologie orientale	RAssyr
Revue archéologique syrienne	RASyr
Revue belge d'archéologie et d'histoire de l'art	RBArch
Revue biblique	RBibl
Revue belge de numismatique et de sigillographie	RBN
Revue belge de philologie et d'histoire	RBPhil
Rei Cretariae Romanae Fautorum Acta	RCRFActa
Rivista di archeologia	RdA
Report of the Department of Antiquities, Cyprus	RDAC
Pauly-Wissowa, Real-Encyclopädie der klassischen Altertumswissenschaft (1893– )	RE
Revue des études anciennes	RÉA
Revue des études byzantines	RÉByz
Recherches de science religieuse	RecSciRel
Recueil de travaux relatifs à la philologie et à l'archéologie égyptiennes et assyriennes	RecTrav
Revue d'égyptologie	RÉg
Revue des études grecques	RÉG
Revue de l'Égypte ancienne	RÉgA
Revue des études historiques	RÉH
Revue des études homériques	RÉHom
Revue des études islamiques	RÉI
Revue des études latines	RÉL
Atti della R. Accademia d'Italia. Rendiconti della classe di scienze morali	RendAccIt
Atti della Accademia delle scienze dell'Istituto di Bologna. Rendiconti	RendBol
Rendiconti. Istituto lombardo, Accademia di scienze e lettere	RendIstLomb
Atti dell'Accademia nazionale dei Lincei. Rendiconti	RendLinc
Rendiconti dell'Accademia di archeologia, lettere e belle arti, Napoli	RendNap
Atti della Pontificia Accademia romana di archeologia. Rendiconti	RendPontAcc
Revue épigraphique	RÉpigr
Repertorium für Kunstwissenschaft	RepKunstW
Revue des études sémitiques	RÉS
Revue hittite et asianique	RHA
Revue historique	RHist
Rheinisches Museum für Philologie	RhM
Revue de l'histoire des religions	RHR
The Roman Imperial Coinage (London 1923– )	RIC
Rivista italiana di numismatica e scienze affini	RIN
Rivista di filologia e d'istruzione classica	RivFil
Rivista dell'Istituto nazionale d'archeologia e storia dell'arte	RivIstArch
Rivista storica dell'antichità	RivStorAnt
Rivista storica italiana	RivStorIt
Reallexikon der Assyriologie und voderasiatischen Archäologie	RLA
La revue du Louvre et des musées de France	RLouvre
Reallexikon der Vorgeschichte	RLV
Mitteilungen des Deutschen Archäologischen Instituts, Römische Abteilung	RM
Mitteilungen des Deutschen Archäologischen Instituts, Römische Abteilung. Ergänzungsheft	RM-EH
Revue numismatique	RN
Römisches Österreich. Jahresschrift der Österreichischen Gesellschaft für Archäologie	RömÖ
Römische Quartalschrift für christliche Altertumskunde und Kirchengeschichte	RömQSchr
Revue de l'Orient chrétien	ROrChr
W.H. Roscher, Griechischen und römischen Mythologie (Leipzig 1897–1902)	Roscher
Revue de philologie, de littérature et d'histoire anciennes	RPhil
S. Reinach, Répertoire de la statuaire grecque et romaine (Paris 1897–1924)	RSGR
Rivista degli studi orientali	RSO
Rivista di studi fenici	RStFen
Rivista di studi liguri	RStLig
Rivista di studi pompeiani	RStPomp
A.D. Trendall and A. Cambitoglou, The Red-Figured Vases of Apulia (Oxford 1978– )	RVAp
Saalburg-Jahrbuch. Bericht des Saalburg-Museums	SaalbJb
Studies in Ancient Oriental Civilizations	SAOC
Archaeological Exploration of Sardis. Monograph	SardisMon
Archaeological Exploration of Sardis. Report	SardisRep
Sitzungsberichte der Deutschen Akademie der Wissenschaften zu Berlin, Klasse für Sprachen, Literatur und Kunst	SBBerl
Sitzungsberichte der Heidelberger Akademie der Wissenschaften, Philosophisch-historische Klasse	SBHeid
Sitzungsberichte der Sächsischen Akademie der Wissenschaften zu Leipzig	SBLeip
Sitzungsberichte, Bayerische Akademie der Wissenschaften [München], Philosophisch- historische Klasse	SBMünch
Sitzungsberichte, Österreichische Akademie der Wissenschaften [Wien], Philosophisch-historische Klasse	SBWien
Scienze dell'Antichita: Storia, archeologia, antropologia (Rome 1987–)	ScAnt
Schweizer Münzblätter	SchwMbll
Supplementum epigraphicum graecum	SEG
Seminarium Kondakovianum	SemKond
Studies in the History of Gardens and Designed Landscapes (continuation of JGH)	SHG
Sicilia archeologica	SicArch
W. Dittenberger, Sylloge inscriptionum graecarum (Leipzig 1883– )	SIG
Studies in Mediterranean Archaeology	SIMA
Studies in Mediterranean Archaeology and Literature. Pocketbook	SIMA-PB
Skrifter utgivna av Vetenskaps-Societeten i Lund	SkrLund 
Skrifter utgivna av K. Humanist. Vetenskaps-Samfundet i Uppsala	SkrUppsala 
Slovenská archeológia	SlovArch
Society for Libyan Studies, Annual Report	SLS
Studi micenei ed egeo-anatolici	SMEA
Syro-Mesopotamian Studies	SMS
Sylloge nummorum graecorum	SNG
Schweizerische numismatische Rundschau. Revue suisse de numismatique	SNR
Sovetskaja archeologija	SovArch
Städel-Jahrbuch	StädelJb
Stadion. Zeitschrift für Geschichte des Sports und der Körperkultur	Stadion
Studies in Ancient Technology	StAncTech
Studia archaeologica	StArch
Studi bizantini e neoellenici	StBiz
Studii clasice. Societatea de studii clasice din Republica Socialista România	StClas
Studi eblaiti	StEb
Studi etruschi	StEtr
Studia iranica	StIr
Studi italiani di filologia classica	StIt
Studi e materiali. Soprintendenza ai beni archeologici per la Toscana	StMat
Studi miscellanei. Seminario di archeologia e storia dell'arte greca e romana dell'Università di Roma	StMisc
Studies in the Antiquities of Stobi	Stobi
Studia papyrologica	StPap
Strenna dei Romanisti	StrennaRom
Studi romani	StRom
Studi sardi	StSard
H. Stuart Jones, A Catalogue of the Ancient Sculptures Preserved in the Municipal Collections of Rome: The Sculptures of the Museo Capitolino (Oxford 1926)	Stuart Jones, Cap.
H. Stuart Jones, A Catalogue of the Ancient Sculptures Preserved in the Municipal Collections of Rome: The Sculptures of the Palazzo dei Conservatori (Oxford 1912)	Stuart Jones, Cons.
Sumer. A Journal of Archaeology and History in Iraq	Sumer 
The Swedish Cyprus Expedition	SwCyprusExp
Symbolae osloenses	SymbOslo
Syria. Revue d'art oriental et d'archéologie	Syria 
Talanta. Proceedings of the Dutch Archaeological and Historical Society	Talanta
Transactions of the American Philological Association	TAPA
Transactions of the American Philosophical Society	TAPS
Taras. Rivista di archeologia	Taras
Tel Aviv. Journal of the Tel Aviv University, Institute of Archaeology	TelAviv 
Tidskrift för Konstvetenskap	TfK
Excavations at Thera	Thera
Thesaurus linguae etruscae (Rome 1978– )	ThLE
Theologische Literaturzeitung	ThLZ
G. Mylonas, O taphikos kyklos B ton Mykenon (Athens 1972–1973)	TKB
M. Pallottino, Testimonia linguae etruscae. 2nd ed. (Florence 1968)	TLE2
Thesaurus linguae graecae	TLG
Thesaurus linguae latinae	TLL
Times Literary Supplement	TLS
I. Travlos, Pictorial Dictionary of Ancient Athens (London 1971)	Travlos, Athens
I. Travlos, Bildlexikon zur Topographie des antiken Attika (Tübingen 1988)	Travlos, Attika
Travaux et mémoires. Centre de recherche d'histoire et civilisation byzantine, Paris	TravMém
Trierer Winckelmannsprogramme	TrWPr
Trierer Zeitschrift für Geschichte und Kunst des Trierer Landes und seiner Nachbargebiete	TrZ
Türk Tarih, Arkeologya ve etnografya dergisi	TTAED
Temple University Aegean Symposium	TUAS
Türk arkeoloji dergisi	TürkArkDerg
Untersuchungen zur Assyriologie und Vorderasiatischen Archäologie	UAVA
University of California at Los Angeles, Institute of Archaeology, Monograph	UCLAMon
University of California at Los Angeles, Institute of Archaeology, Occasional Paper	UCLAPap
Ugarit-Forschungen. Internationales Jahrbuch für die Altertumskunde Syrien-Palästinas	UgaritF
University Microfilms	UMI
University of Pennsylvania Museum Bulletin	UPMB
Uppsala Universitets Årsskrift	UppsÅrsskr
Vestnik drevnej istorii	VDI
Vigiliae christianae	VigChr
Vergangenheit und Gegenwart	VuG
Die Welt des Islam	WeltIsl
Wiener Jahreshefte	WJh
Wochenschrift für klassische Philologie	WKP
World Archaeology	WorldArch
Wiener prähistorische Zeitschrift	WPZ
Wiener Studien	WS
Würzburger Jahrbücher für die Altertumswissenschaft	WürzJbb
Wissenschaftliche Veröffentlichungen der Deutschen Orient-Gesellschaft	WVDOG
Wiener Zeitschrift für die Kunde des Morgenlandes	WZKM
Xenia. Semestrale di antichità	Xenia
Yale University Art Gallery Bulletin	YaleBull
Yale Classical Studies	YCS
Zeitschrift für Assyriologie und vorderasiatische Archäologie	ZA
Zeitschrift für ägyptische Sprache und Altertumskunde	ZÄS
Zeitschrift für die alttestamentliche Wissenschaft	ZATW
Zeitschrift für christliche Kunst	ZChrK
Zeitschrift für deutsches Altertum	ZDA
Zeitschrift der deutschen morgenländischen Gesellschaft	ZDMG
Zeitschrift des deutschen Palästina-Vereins	ZDPV
Zeitschrift für Archäologie	ZfA
Zeitschrift für Ethnologie	ZfE
Zeitschrift für Kunstgeschichte	ZfK
Zeitschrift für Numismatik	ZfN
Ziva antika. Antiquité vivante	ZivaAnt
Zeitschrift für die neutestamentliche Wissenschaft	ZNTW
Zeitschrift für die Österreichischen Gymnasien	ZÖstG
Zeitschrift für Papyrologie und Epigraphik	ZPE
Zeitschrift der Savigny-Stiftung für Rechtsgeschichte	ZSav
Zeitschrift für schweizerische Archäologie und Kunstgeschichte	ZSchwArch
Zeitschrift für schweizerische Geschichte	ZSchwG
